כותרת,תנועה,מנה,"ס""ת",ח-ן נגדי,מפתח חשבון,ספק תקין ,שם חשבון נגדי,ת.אסמכ,ת.ערך,תאריך 3,אסמ',אסמ'2,פרטים,תמחיר,חובה / זכות (שקל),מפתח חשבון,שם חשבון,קוד מיון,שם קוד מיון
806461,1747388,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,10/02/2025,10/02/2025,10/02/2025,12025845,,FACEBK *WCGJAK82X2,,1264,50011,הוצאות פרסום ושיווק,805,שיווק
806462,1747389,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,10/02/2025,10/02/2025,10/02/2025,12025845,,FACEBK *M6TDFK42X2,,1149,50011,הוצאות פרסום ושיווק,805,שיווק
806463,1747390,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,11/02/2025,11/02/2025,11/02/2025,12025845,,FACEBK *HZZCYJL2X2,,1391,50011,הוצאות פרסום ושיווק,805,שיווק
806464,1747391,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,11/02/2025,11/02/2025,11/02/2025,13025845,,FACEBK *E4M35JG2X2,,1531,50011,הוצאות פרסום ושיווק,805,שיווק
806465,1747392,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,12/02/2025,12/02/2025,12/02/2025,14025845,,FACEBK *828U3KC2X2,,1685,50011,הוצאות פרסום ושיווק,805,שיווק
806466,1747393,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,13/02/2025,13/02/2025,13/02/2025,14025845,,FACEBK *G44S3KL2X2,,1854,50011,הוצאות פרסום ושיווק,805,שיווק
806467,1747394,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,15/02/2025,15/02/2025,15/02/2025,17025845,,FACEBK *GTXYBJG2X2,,2244,50011,הוצאות פרסום ושיווק,805,שיווק
806468,1747395,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,16/02/2025,16/02/2025,16/02/2025,18025845,,FACEBK *C6NQAKL2X2,,2469,50011,הוצאות פרסום ושיווק,805,שיווק
806469,1747396,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,18/02/2025,18/02/2025,18/02/2025,19025845,,FACEBK *T3JS2KG9J2,,5282.5,50011,הוצאות פרסום ושיווק,805,שיווק
806470,1747397,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,18/02/2025,18/02/2025,18/02/2025,20025845,,FACEBK *5RF9XK42X2,,2716,50011,הוצאות פרסום ושיווק,805,שיווק
806478,1747445,9997,,80013,30068,META/ פייסבוק,הוצאות גוגל,22/02/2025,22/02/2025,22/02/2025,240251383,,GOOGLE*ADS6216476794,,10000,50011,הוצאות פרסום ושיווק,805,שיווק
806471,1747398,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,25/02/2025,25/02/2025,25/02/2025,27025845,,FACEBK *4K9LSKL2X2,,2988,50011,הוצאות פרסום ושיווק,805,שיווק
806472,1747399,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,27/02/2025,27/02/2025,27/02/2025,28025845,,FACEBK *KC8ZCKYZW2,,3238,50011,הוצאות פרסום ושיווק,805,שיווק
806473,1747400,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,28/02/2025,28/02/2025,28/02/2025,2035845,,FACEBK *C7THFKYZW2,,1006.02,50011,הוצאות פרסום ושיווק,805,שיווק
806474,1747401,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,28/02/2025,28/02/2025,28/02/2025,2035845,,FACEBK *DVXGNKUZW2,,3238,50011,הוצאות פרסום ושיווק,805,שיווק
806476,1747403,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,05/03/2025,05/03/2025,05/03/2025,70351383,,FACEBK *META VERIFIE,,42.89,50011,הוצאות פרסום ושיווק,805,שיווק
815273,1768861,9997,,50015,20104,Shopify International Limited,הוצאות אחזקת אתר אינטרנט,12/04/2025,12/04/2025,12/04/2025,0,298174430,Shopify International Limited 04/25,,10698.39,50026,הוצאות שירותי תוכנה,802,משרד
815274,1768862,9997,,50015,20104,Shopify International Limited,הוצאות אחזקת אתר אינטרנט,12/05/2025,12/05/2025,12/05/2025,0,484119330,Shopify International Limited 05/25,,9676.34,50026,הוצאות שירותי תוכנה,802,משרד
815273,1768863,9997,,50026,20104,Shopify International Limited,הוצאות שירותי תוכנה,12/04/2025,12/04/2025,12/04/2025,0,298174430,Shopify International Limited 04/25,,-10698.39,50015,הוצאות אחזקת אתר אינטרנט,801,מכירות
814878,1767971,1096,,37999,20104,Shopify International Limited,ספקים לשלם +לקבל חשבונית,07/05/2025,07/05/2025,14/05/2025,0,250510006,ליסקאר מנהרות,,58.64,50004,הוצאות נסיעות מחלקת סיטונאות,801,מכירות
806430,1747353,9997,,50026,20082,zendesk שירות לקוחות 80010,הוצאות שירותי תוכנה,09/01/2025,09/01/2025,09/01/2025,12015845,,ZENDESK.COM - IRE,,-21.5,80010,הוצאות שרות לקוחות,801,מכירות
806431,1747354,9997,,50026,20082,zendesk שירות לקוחות 80010,הוצאות שירותי תוכנה,24/01/2025,24/01/2025,24/01/2025,26015845,,ZENDESK.COM - IRE,,-41.9,80010,הוצאות שרות לקוחות,801,מכירות
806432,1747355,9997,,50026,20082,zendesk שירות לקוחות 80010,הוצאות שירותי תוכנה,27/01/2025,27/01/2025,27/01/2025,29015845,,ZENDESK.COM - IRE,,-47.65,80010,הוצאות שרות לקוחות,801,מכירות
806429,1747352,9997,,50026,20082,zendesk שירות לקוחות 80010,הוצאות שירותי תוכנה,09/02/2025,09/02/2025,23/03/2025,0,12575512,zendesk 02/25,,-46.39,80010,הוצאות שרות לקוחות,801,מכירות
806428,1747351,9997,,50026,20082,zendesk שירות לקוחות 80010,הוצאות שירותי תוכנה,27/02/2025,27/02/2025,27/02/2025,0,12627302,zendesk 02/25,,-55.5,80010,הוצאות שרות לקוחות,801,מכירות
806430,1747348,9997,,80010,20082,zendesk שירות לקוחות 80010,הוצאות שרות לקוחות,09/01/2025,09/01/2025,09/01/2025,12015845,,ZENDESK.COM - IRE,,21.5,50026,הוצאות שירותי תוכנה,802,משרד
